% Model,Aluminum Disk 24cm Separation (Save).mph
% Version,COMSOL 4.4.0.195
% Date,"Aug 4 2015, 11:50"
% Dimension,1
% Nodes,1001
% Expressions,1
% Description,Point graph
% X,Height
7899.999999999999,-16.680350916170028
7925,-4.403668115012692
7950.000000000001,8.402403602813706
7974.999999999999,19.747241139691596
8000,27.918379948614074
8024.999999999999,31.733675419955716
8050,30.694080268222024
8074.999999999999,25.027172502617873
8100,15.630216627103096
8125,3.9308579955039704
8149.999999999999,-8.314500060430532
8175,-19.264526448619904
8199.999999999998,-27.25576238637325
8225,-31.053949643319925
8250,-30.05593737058871
8275,-24.40277021087752
8300,-14.97421655046685
8324.999999999998,-3.2561177646292663
8350,8.900685282003792
8374.999999999998,19.58616106578029
8400,27.14371681884961
8425,30.432371609656798
8450,28.995236189316756
8475,23.11264406049611
8499.999999999998,13.7402515934142
8525,2.349548883455668
8550,-9.301199622710442
8575,-19.432231339287227
8600,-26.50808340289268
8624.999999999998,-29.467780166636544
8650,-27.885654934972877
8675,-22.036269375894335
8700,-12.850190230611247
8725,-1.7655510971558215
8750,9.500532219522484
8775,19.22171089462904
8799.999999999998,25.927857956150774
8825,28.624054369286682
8850,26.931980936391255
8875,21.137303024941275
8900,12.140926503335777
8924.999999999998,1.3235880681472736
8950,-9.657897869606927
8975,-19.11703817914747
9000,-25.594337374953284
9025,-28.08688039955507
9049.999999999998,-26.21276565885546
9075,-20.278850906751927
9100,-11.235093520766327
9125,-0.5198069779117986
9150,10.177671466042057
9175,19.193413440060112
9200,25.15410057724216
9224.999999999998,27.18554052364925
9250,25.03329553643266
9275,19.082819313277923
9300,10.284038079199831
9325,-0.0018207155151230836
9349.999999999998,-10.208009823931889
9375,-18.792349048549113
9400,-24.462348439601215
9425,-26.366315472597876
9450,-24.223403766374872
9474.999999999998,-18.371022942002128
9500,-9.718236866124585
9524.999999999998,0.3916903783660928
9550,10.39017574493198
9575,18.730219008668087
9600,24.130100360637698
9625,25.77316634027534
9649.999999999998,23.431524352076735
9675,17.495505991911273
9700,8.906803441333523
9725,-0.9919561606592424
9750,-10.666789463289433
9774.999999999998,-18.62908844067499
9800,-23.664142132426946
9825,-25.017075509369306
9850,-22.507429436560983
9875,-16.553836713240344
9899.999999999998,-8.104278260383126
9925,1.5168637928529733
9949.999999999998,10.819417863085732
9975,18.380492166803833
10000,23.06198468739683
10025,24.178902634981682
10050,21.594831921757304
10074.999999999998,15.73364190226323
10100,7.50916943119114
10125,-1.814724795344091
10150,-10.8133577905445
10175,-18.11381759537869
10199.999999999998,-22.60182260470367
10225,-23.593041092712042
10249.999999999998,-20.94193524215416
10275,-15.068592842180237
10300,-6.896003123555488
10325,2.2946861925362327
10350,11.068244277436293
10374.999999999998,18.06453971933513
10400,22.213720133872584
10425,22.901324957618044
10450,20.057306319996997
10475,14.15723846438118
10499.999999999998,6.139113899104132
10525,-2.747958016518737
10550,-11.137919844658654
10575,-17.755146628214106
10600,-21.6050565416964
10624.999999999998,-22.121096756461725
10650,-19.24732899718481
10674.999999999998,-13.444505079450778
10700,-5.618208416325842
10725,3.020778152757657
10750,11.14298599433937
10775,17.504925488312097
10799.999999999998,21.13994496712678
10825,21.505503360810394
10850,18.564243857186398
10875,12.786951792862169
10900,5.077686212686444
10924.999999999998,-3.366915849985503
10950,-11.24255285534582
10974.999999999998,-17.338364771883676
11000,-20.723672419784748
11025,-20.891531793718514
11049.999999999998,-17.836359695082706
11075,-12.05281628354544
11099.999999999998,-4.455671815085566
11125,3.7664904810031885
11150,11.339668291351813
11175,17.103888859808194
11200,20.19139731714654
11224.999999999998,20.15581987746043
11250,17.033669567949346
11275,11.331125564439617
11300,3.9406648798392325
