Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.17  released 1-13-2006 

Program file: C:\LANL\SF7.EXE
SF.INI file: C:\LANL\SF.INI 12-29-2014   9:59:06
Solution file C:\Users\plane\Documents\Superfish\HPRF.T35.
Memory used for HPRF.T35 arrays:     157.872 K
Obtaining filename or plot type and data from SF7 pop-up menu.

Electromagnetic fields for a rectangular area with corners at:
(Zmin,Rmin) = (-4.064,0.0)
(Zmax,Rmax) = (4.064,11.43)
Z and R increments:   100   100

      Z             R              Ez            Er            |E|           H 
    (cm)          (cm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
 -0.487680      0.114300      4.027439E+01  8.549770E-01  4.028346E+01  1.043598E+03
 -0.406400      0.114300      3.891869E+01  6.899869E-01  3.892480E+01  1.006972E+03
 -0.325120      0.114300      3.804464E+01  5.391396E-01  3.804846E+01  9.844796E+02
 -0.243840      0.114300      3.738513E+01  3.882923E-01  3.738715E+01  9.675079E+02
 -0.162560      0.114300      3.681611E+01  2.607905E-01  3.681703E+01  9.520730E+02
 -8.128000E-02  0.114300      3.653891E+01  1.290160E-01  3.653914E+01  9.449396E+02
  8.604228E-16  0.114300      3.643373E+01  4.205658E-03  3.643373E+01  9.421212E+02
  8.128000E-02  0.114300      3.651903E+01 -1.241498E-01  3.651924E+01  9.443161E+02
  0.162560      0.114300      3.678687E+01 -2.525053E-01  3.678774E+01  9.512088E+02
  0.243840      0.114300      3.730572E+01 -3.864187E-01  3.730772E+01  9.650511E+02
  0.325120      0.114300      3.795564E+01 -5.275215E-01  3.795930E+01  9.817759E+02
  0.406400      0.114300      3.899417E+01 -6.748413E-01  3.900001E+01  1.009815E+03
  0.487680      0.114300      4.007640E+01 -8.470417E-01  4.008535E+01  1.037665E+03
  0.568960      0.114300      4.177210E+01 -1.039013E+00  4.178502E+01  1.083437E+03
  0.650240      0.114300      4.339274E+01 -1.240006E+00  4.341045E+01  1.125142E+03
  0.731520      0.114300      4.529923E+01 -1.440999E+00  4.532214E+01  1.174203E+03
  0.812800      0.114300      4.749158E+01 -1.641991E+00  4.751996E+01  1.230621E+03
  0.894080      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.975360      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.05664      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.13792      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.21920      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.30048      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.38176      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.46304      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.54432      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.62560      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.70688      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.78816      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.86944      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.95072      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   2.03200      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   2.11328      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   2.19456      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   2.27584      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   2.35712      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   2.43840      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   2.51968      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   2.60096      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   2.68224      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   2.76352      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   2.84480      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   2.92608      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   3.00736      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   3.08864      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   3.16992      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   3.25120      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   3.33248      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   3.41376      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   3.49504      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   3.57632      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   3.65760      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
